DFILESIZE,load,file,filename,siteid,uploaddirectory,contenttype,containerid,overwrite,majorversion,damsasp:extDocSource,damsasp:extDocId,,damsasp:extDocVersion,apm:apmNumber,apm:apmYear,apm:beginningBatesNumber,apm:endingBatesNumber,apm:startImage,apm:endImage,,remiccd:subtype,remiccd:sponsor,remiccd:dealNumber,,oipmroot:issuerName,oipmroot:issuerNumber
108993,TRUE,dams_sample.pdf,2010-C20_05_Legal Advisor Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD009993,,,,,,,,,,,Test,12345,,,
51842,TRUE,dams_sample.pdf,2010-C22_04_Guaranty Agreement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010008,,,,,,,,,,,Test,12345,,,
118385,TRUE,dams_sample.pdf,2010-H13_05_Legal Advisor Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010033,,,,,,,,,,,Test,12345,,,
3806702,TRUE,dams_sample.pdf,2010-H15_06_Offering Circulator Supplement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010050,,,,,,,,,,,Test,12345,,,
561802,TRUE,dams_sample.pdf,2011-C05_01_Official Financial Advisor Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010917,,,,,,,,,,,Test,12345,,,
170249,TRUE,dams_sample.pdf,2012-058_07_Misc.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD006422,,,,,,,,,,,Test,12345,,,
130086,TRUE,dams_sample.pdf,2012-061_05_Legal Advisor Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD006444,,,,,,,,,,,Test,12345,,,
1321659,TRUE,dams_sample.pdf,2011-C06_06_Offering Circulator Supplement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010930,,,,,,,,,,,Test,12345,,,
350868,TRUE,dams_sample.pdf,2011-C07_02_Transaction Initiation Letter.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010934,,,,,,,,,,,Test,12345,,,
6254122,TRUE,dams_sample.pdf,2011-H01_08_Closing Document - Disk.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD010948,,,,,,,,,,,Test,12345,,,
8415656,TRUE,dams_sample.pdf,2011-161_06_Offering Circulator Supplement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD011618,,,,,,,,,,,Test,12345,,,
162012,TRUE,dams_sample.pdf,2011-161_07_Misc.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD011619,,,,,,,,,,,Test,12345,,,
126658,TRUE,dams_sample.pdf,2011-162_03_Sponsor Agreement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD011623,,,,,,,,,,,Test,12345,,,
220486,TRUE,dams_sample.pdf,2011-162_07_Misc.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD011627,,,,,,,,,,,Test,12345,,,
114739,TRUE,dams_sample.pdf,2011-164_04_Guaranty Agreement.pdf,ocm,Structured Solutions/REMIC Closing Documents/Glossary,remiccd:REMIC_CLOSING_DOCUMENTS,,,,,GMD011640,,,,,,,,,,,Test,12345,,,
