file,filename,siteid,uploaddirectory,contenttype,containerid,oipmroot:issuerNumber,oipmroot:issuerName,damsasp:extDocSource
"OIP00725_3541_NVR MORTGAGE FINANCE, INC.pdf","OIP00725_3541_NVR MORTGAGE FINANCE, INC.pdf",SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3541,"NVR MORTGAGE FINANCE, INC",Other
OIP00726_3544_ALASKA FEDERAL AND SAVINGS AND LOAN.pdf,OIP00726_3544_ALASKA FEDERAL AND SAVINGS AND LOAN.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3544,ALASKA FEDERAL AND SAVINGS AND LOAN,Other
OIP00768_4054_ONE WEST.pdf,OIP00768_4054_ONE WEST.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4054,ONE WEST,Other
OIP00769_3590_MATRIX.pdf,OIP00769_3590_MATRIX.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3590,MATRIX,Other
OIP00770_3743_PRIMARY RESIDENTIAL.pdf,OIP00770_3743_PRIMARY RESIDENTIAL.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3743,PRIMARY RESIDENTIAL,Other
OIP00771_3434_ENT FCU.pdf,OIP00771_3434_ENT FCU.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3434,ENT FCU,Other
OIP00772_3084_COLORADO BANKERS.pdf,OIP00772_3084_COLORADO BANKERS.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3084,COLORADO BANKERS,Other
OIP00773_3032_UNIVERSAL LENDING.pdf,OIP00773_3032_UNIVERSAL LENDING.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3032,UNIVERSAL LENDING,Other
OIP00774_1857_BANK OF HAWAII.pdf,OIP00774_1857_BANK OF HAWAII.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,1857,BANK OF HAWAII,Other
OIP00775_3921_CHERRY CREEK.pdf,OIP00775_3921_CHERRY CREEK.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3921,CHERRY CREEK,Other
OIP00776_2800_HOME AMERICAN.pdf,OIP00776_2800_HOME AMERICAN.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,2800,HOME AMERICAN,Other
OIP00777_1977_PULTE.pdf,OIP00777_1977_PULTE.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,1977,PULTE,Other
OIP00778_4185_AMERICAN MORTGAGE.pdf,OIP00778_4185_AMERICAN MORTGAGE.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,4185,AMERICAN MORTGAGE,Other
OIP00779_3793_AURORA LOAN SERVICES.pdf,OIP00779_3793_AURORA LOAN SERVICES.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3793,AURORA LOAN SERVICES,Other
OIP00780_3685_SUBURBAN.pdf,OIP00780_3685_SUBURBAN.pdf,SUPP MultiFamily,SUPP MultiFamily,SUPP MultiFamily,,3685,SUBURBAN,Other
