file,filename,siteid,uploaddirectory,contenttype,containerid,oipmroot:issuerNumber,oipmroot:issuerName,damsasp:extDocSource
OIP00047_2762_COMMERCIAL FEDERAL.pdf,OIP00047_2762_COMMERCIAL FEDERAL.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2762,COMMERCIAL FEDERAL,Other
OIP00048_2774_IRWIN UNION BANK.pdf,OIP00048_2774_IRWIN UNION BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2774,IRWIN UNION BANK,Other
OIP00049_2674_PRIME WEST MORTGAGE CORP.pdf,OIP00049_2674_PRIME WEST MORTGAGE CORP.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,2674,PRIME WEST MORTGAGE CORP,Other
OIP00050_1401_WASHINGTON MUTUAL BANK.pdf,OIP00050_1401_WASHINGTON MUTUAL BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,1401,WASHINGTON MUTUAL BANK,Other
OIP00051_1401_WASHINGTON MUTUAL BANK.pdf,OIP00051_1401_WASHINGTON MUTUAL BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,1401,WASHINGTON MUTUAL BANK,Other
OIP00052_1401_WASHINGTON MUTUAL BANK.pdf,OIP00052_1401_WASHINGTON MUTUAL BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,1401,WASHINGTON MUTUAL BANK,Other
OIP00053_1401_WASHINGTON MUTUAL BANK.pdf,OIP00053_1401_WASHINGTON MUTUAL BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,1401,WASHINGTON MUTUAL BANK,Other
OIP00054_1401_WASHINGTON MUTUAL BANK.pdf,OIP00054_1401_WASHINGTON MUTUAL BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,1401,WASHINGTON MUTUAL BANK,Other
OIP00055_1401_WASHINGTON MUTUAL BANK.pdf,OIP00055_1401_WASHINGTON MUTUAL BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,1401,WASHINGTON MUTUAL BANK,Other
OIP00056_1401_WASHINGTON MUTUAL BANK.pdf,OIP00056_1401_WASHINGTON MUTUAL BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,1401,WASHINGTON MUTUAL BANK,Other
OIP00057_4342_BRAND MORTGAGE.pdf,OIP00057_4342_BRAND MORTGAGE.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4342,BRAND MORTGAGE,Other
OIP00058_4343_FIRST BANK.pdf,OIP00058_4343_FIRST BANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4343,FIRST BANK,Other
OIP00059_4345_BERIBANK.pdf,OIP00059_4345_BERIBANK.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4345,BERIBANK,Other
OIP00060_4346_MERIDIAN.pdf,OIP00060_4346_MERIDIAN.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4346,MERIDIAN,Other
OIP00061_4347_CHURCHILL.pdf,OIP00061_4347_CHURCHILL.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4347,CHURCHILL,Other
OIP00062_4348_LENDING.pdf,OIP00062_4348_LENDING.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4348,LENDING,Other
OIP00063_4356_MORTGAGE ACCESS CORP.pdf,OIP00063_4356_MORTGAGE ACCESS CORP.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4356,MORTGAGE ACCESS CORP,Other
OIP00064_4357_FIRST HOME.pdf,OIP00064_4357_FIRST HOME.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4357,FIRST HOME,Other
OIP00065_4358_EVERETT.pdf,OIP00065_4358_EVERETT.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4358,EVERETT,Other
OIP00066_4358_EVERETT.pdf,OIP00066_4358_EVERETT.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4358,EVERETT,Other
OIP00067_4358_EVERETT.pdf,OIP00067_4358_EVERETT.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4358,EVERETT,Other
OIP00068_4360_TIDEWATER.pdf,OIP00068_4360_TIDEWATER.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4360,TIDEWATER,Other
OIP00072_4329_ARVEST.pdf,OIP00072_4329_ARVEST.pdf,ISSR MultiFamily,ISSR MultiFamily,ISSR MultiFamily,,4329,ARVEST,Other
