"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:category","oipmroot:date","oipmroot:department","oipmroot:library","oipmroot:issuerNumber","oipmroot:issuerName","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
2356309,"GMD018201.pdf","GMD018201.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Wells Fargo Multifamily Capital","SUPP","4/25/2011","","MLTF","3998","Wells Fargo Multifamily Capital","","GMD018201","1"
261114,"GMD018203.pdf","GMD018203.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","The Bankers Guarantee Title & Trust Company","SUPP","5/21/2010","","MLTF","1442","The Bankers Guarantee Title & Trust Company","","GMD018203","1"
214829,"GMD018202.pdf","GMD018202.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","The Phares Company","SUPP","5/11/2010","","MLTF","3854","The Phares Company","","GMD018202","1"
120122,"GMD018204.pdf","GMD018204.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","St. James Capital, LLC.","SUPP","9/24/2010","","MLTF","3949","St. James Capital, LLC.","","GMD018204","1"
5873655,"GMD018205.pdf","GMD018205.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Red Mortgage Capital, Inc.","SUPP","3/1/2010","","MLTF","3896","Red Mortgage Capital, Inc.","","GMD018205","1"
312233,"GMD018206.pdf","GMD018206.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Prarie Mortgage Co.","SUPP","12/15/2010","","MLTF","3520","Prarie Mortgage Co.","","GMD018206","1"
8997075,"GMD018210.pdf","GMD018210.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Midland Loan Services, Inc.","SUPP","","","MLTF","3812","Midland Loan Services, Inc.","","GMD018210","1"
1511306,"GMD018207.pdf","GMD018207.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","P/R Mortgage & Investment Corp.","SUPP","4/15/2011","","MLTF","3487","P/R Mortgage & Investment Corp.","","GMD018207","1"
235134,"GMD018209.pdf","GMD018209.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Oppenheimer Multifamily Housing & Healthcare","SUPP","5/19/2011","","MLTF","3957","Oppenheimer Multifamily Housing & Healthcare","","GMD018209","1"
3319242,"GMD018211.pdf","GMD018211.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Midland Loan Services, Inc.","SUPP","3/15/2010","","MLTF","3812","Midland Loan Services, Inc.","","GMD018211","1"
2432334,"GMD018225.pdf","GMD018225.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Walker & Dunlop, LLC.","SUPP","10/9/2010","","MLTF","4080","Walker & Dunlop, LLC.","","GMD018225","1"
862599,"GMD018212.pdf","GMD018212.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Lancaster Pollard Mortgage Co.","SUPP","4/26/2011","","MLTF","3785","Lancaster Pollard Mortgage Co.","","GMD018212","1"
2329025,"GMD018226.pdf","GMD018226.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Sun West Mortgage CO., Inc.","SUPP","1/1/2010","","MLTF","3350","Sun West Mortgage CO., Inc.","","GMD018226","1"
1245765,"GMD018213.pdf","GMD018213.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Heartland Bank","SUPP","2/23/2010","","MLTF","3554","Heartland Bank","","GMD018213","1"
9259123,"GMD018214.pdf","GMD018214.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Greystone Servicing Corp., Inc.","SUPP","3/8/2010","","MLTF","3500","Greystone Servicing Corp., Inc.","","GMD018214","1"
197577,"GMD018216.pdf","GMD018216.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Forest City Capital Corp.","SUPP","1/28/2010","","MLTF","1535","Forest City Capital Corp.","","GMD018216","1"
2040674,"GMD018215.pdf","GMD018215.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Great Lakes Financial Group, LP.","SUPP","1/22/2010","","MLTF","3408","Great Lakes Financial Group, LP.","","GMD018215","1"
420478,"GMD018217.pdf","GMD018217.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Evanston Financial Corporation","SUPP","3/27/2010","","MLTF","3957","Evanston Financial Corporation","","GMD018217","1"
5244165,"GMD018219.pdf","GMD018219.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","CMC Mortgage Services, Inc.","SUPP","","","MLTF","3709","CMC Mortgage Services, Inc.","","GMD018219","1"
302379,"GMD018218.pdf","GMD018218.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Enterprise Community Investment","SUPP","7/12/2010","","MLTF","4025","Enterprise Community Investment","","GMD018218","1"
617293,"GMD018220.pdf","GMD018220.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Centerline Mortgage Capital Inc.","SUPP","3/28/2011","","MLTF","3557","Centerline Mortgage Capital Inc.","","GMD018220","1"
84425,"GMD018221.pdf","GMD018221.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Centennial Mortgage, Inc.","SUPP","11/19/2009","","MLTF","3044","Centennial Mortgage, Inc.","","GMD018221","1"
11106908,"GMD018227.pdf","GMD018227.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Rockhall Funding Corp.","SUPP","1/6/2011","","MLTF","3917","Rockhall Funding Corp.","","GMD018227","1"
477240,"GMD018228.pdf","GMD018228.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Regions Mortgage, Inc.","SUPP","","","MLTF","1670","Regions Mortgage, Inc.","","GMD018228","1"
3146482,"GMD018222.pdf","GMD018222.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Capital Funding Group, Inc.","SUPP","12/4/2009","","MLTF","3866","Capital Funding Group, Inc.","","GMD018222","1"
681070,"GMD018229.pdf","GMD018229.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Prudential Huntoon Paige Associates, LTD.","SUPP","5/10/2011","","MLTF","3153","Prudential Huntoon Paige Associates, LTD.","","GMD018229","1"
365057,"GMD018223.pdf","GMD018223.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Cambridge Realty Capital LTD. of Illinois","SUPP","2/7/2011","","MLTF","3733","Cambridge Realty Capital LTD. of Illinois","","GMD018223","1"
191141,"GMD018232.pdf","GMD018232.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Oak Grove Commercial Mortgage, LLC.","SUPP","2/25/2010","","MLTF","4065","Oak Grove Commercial Mortgage, LLC.","","GMD018232","1"
5036218,"GMD018230.pdf","GMD018230.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","PMC Financial Services, Inc.","SUPP","1/28/2011","","MLTF","3107","PMC Financial Services, Inc.","","GMD018230","1"
779878,"GMD018231.pdf","GMD018231.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Pacific Commonwealth Mortgage Company","SUPP","3/2/2011","","MLTF","3917","Pacific Commonwealth Mortgage Company","","GMD018231","1"
37225,"GMD018235.pdf","GMD018235.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","M&T Realty Capital Corp.","SUPP","10/9/2009","","MLTF","3640","M&T Realty Capital Corp.","","GMD018235","1"
359751,"GMD018233.pdf","GMD018233.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Northpoint Capital","SUPP","11/12/2009","","MLTF","4084","Northpoint Capital","","GMD018233","1"
3991966,"GMD018234.pdf","GMD018234.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Northmarq Capital, Inc.","SUPP","","","MLTF","3951","Northmarq Capital, Inc.","","GMD018234","1"
3910000,"GMD018237.pdf","GMD018237.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Love Funding Corporation","SUPP","1/31/2011","","MLTF","3201","Love Funding Corporation","","GMD018237","1"
245370,"GMD018236.pdf","GMD018236.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Metropolitan Funding Corp.","SUPP","10/22/2010","","MLTF","4118","Metropolitan Funding Corp.","","GMD018236","1"
525050,"GMD018238.pdf","GMD018238.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Keycorp Real Estate Capital Markets, Inc.","SUPP","6/6/2011","","MLTF","3759","Keycorp Real Estate Capital Markets, Inc.","","GMD018238","1"
28177,"GMD018224.pdf","GMD018224.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Arbor Commercial Mortgage, LLC.","SUPP","2/22/2010","","MLTF","3758","Arbor Commercial Mortgage, LLC.","","GMD018224","1"
3655229,"GMD018239.pdf","GMD018239.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Huntoon Hastings, Inc.","SUPP","9/1/2010","","MLTF","3958","Huntoon Hastings, Inc.","","GMD018239","1"
7882487,"GMD018240.pdf","GMD018240.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Great Southern Realty Capital, LLC.","SUPP","3/1/2011","","MLTF","3829","Great Southern Realty Capital, LLC.","","GMD018240","1"
439559,"GMD018241.pdf","GMD018241.pdf","SUPP MultiFamily","SUPP MultiFamily","SUPP MultiFamily","","Grandbridge Real Estate Capital, LLC.","SUPP","2/11/2010","","MLTF","4016","Grandbridge Real Estate Capital, LLC.","","GMD018241","1"
