"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:category","oipmroot:date","oipmroot:department","oipmroot:library","oipmroot:issuerNumber","oipmroot:issuerName","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
42110,"GMD019346.pdf","GMD019346.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Coopers & Lybrand","MISC","","","MLTF","","","","GMD019346","1"
52103,"GMD019095.pdf","GMD019095.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","National Westminister Ba","MISC","","","MLTF","","","","GMD019095","1"
39603,"GMD019048.pdf","GMD019048.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Oakwood Acceptance Corp","MISC","","","MLTF","","","","GMD019048","1"
36138,"GMD018922.pdf","GMD018922.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","GNMA","MISC","","","MLTF","","","","GMD018922","1"
66445,"GMD018826.pdf","GMD018826.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","STM Mortgage Company","MISC","","","MLTF","","","","GMD018826","1"
65842,"GMD018828.pdf","GMD018828.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Southtrust Mobile Servic","MISC","","","MLTF","","","","GMD018828","1"
61099,"GMD018835.pdf","GMD018835.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Sibley Mortgage Corporat","MISC","","","MLTF","","","","GMD018835","1"
39161,"GMD018836.pdf","GMD018836.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Sedgwick James, Inc","MISC","","","MLTF","","","","GMD018836","1"
68201,"GMD018857.pdf","GMD018857.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","R & G Mortgage Corp","MISC","","","MLTF","","","","GMD018857","1"
51197,"GMD018864.pdf","GMD018864.pdf","CDs MultiFamily","CDs MultiFamily","CDs MultiFamily","","Platte Valley Funding, L","MISC","","","MLTF","","","","GMD018864","1"
