"DFILESIZE","file","filename","siteid","uploaddirectory","contenttype","containerid","cm:title","oipmroot:department","oipmroot:documentType","oipmroot:issuerNumber","oipmroot:issuerName","oipmroot:terminationDate","damsasp:extDocSource","damsasp:extDocId","damsasp:extDocVersion"
22594304,"GMD040666.pdf","GMD040666.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","MAJOR MORTGAGE - Feb-07","OIPM","ISSUER FILE","3913","MAJOR MORTGAGE","Feb-07","","GMD040666","1"
19088636,"GMD040667.pdf","GMD040667.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","THIRD FEDERAL SAVINGS AND LOAN - Nov-06","OIPM","ISSUER FILE","3905","THIRD FEDERAL SAVINGS AND LOAN","Nov-06","","GMD040667","1"
26403781,"GMD040668.pdf","GMD040668.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","BANCMORTGAGE FINANCIAL CORPORATION - Dec-05","OIPM","ISSUER FILE","3897","BANCMORTGAGE FINANCIAL CORPORATION","Dec-05","","GMD040668","1"
36493320,"GMD040669.pdf","GMD040669.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","PRISM MORTGAGE COMPANY - Dec-05","OIPM","ISSUER FILE","3844","PRISM MORTGAGE COMPANY","Dec-05","","GMD040669","1"
12699516,"GMD040670.pdf","GMD040670.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","Rousseau Mortgage Corporation - Apr-17","OIPM","ISSUER FILE","3492","Rousseau Mortgage Corporation","Apr-17","","GMD040670","1"
9931207,"GMD040671.pdf","GMD040671.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","MERCANTILE MORTGAGE - Apr-17","OIPM","ISSUER FILE","1992","MERCANTILE MORTGAGE","Apr-17","","GMD040671","1"
6858280,"GMD040672.pdf","GMD040672.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","NA NATIONAL TITLE INSURANCE - Apr-17","OIPM","ISSUER FILE","2034","NA NATIONAL TITLE INSURANCE","Apr-17","","GMD040672","1"
15378529,"GMD040673.pdf","GMD040673.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","FIRST MORTGAGE CORPORATION - Apr-17","OIPM","ISSUER FILE","2135","FIRST MORTGAGE CORPORATION","Apr-17","","GMD040673","1"
6751531,"GMD040674.pdf","GMD040674.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","MICHIGAN MORTGAGE CORPORATION - Apr-17","OIPM","ISSUER FILE","1614","MICHIGAN MORTGAGE CORPORATION","Apr-17","","GMD040674","1"
4982255,"GMD040675.pdf","GMD040675.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","THE PFEFFERKORN COMPANY - Apr-09","OIPM","ISSUER FILE","1662","THE PFEFFERKORN COMPANY","Apr-09","","GMD040675","1"
36072772,"GMD040676.pdf","GMD040676.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","REAL ESTATE FINANCIAL, INCORPORATED - Apr-17","OIPM","ISSUER FILE","1670","REAL ESTATE FINANCIAL, INCORPORATED","Apr-17","","GMD040676","1"
11467672,"GMD040677.pdf","GMD040677.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","WASHINGTON MUTUAL BANK. FA - Mar-09","OIPM","ISSUER FILE","1401","WASHINGTON MUTUAL BANK. FA","Mar-09","","GMD040677","1"
39785489,"GMD040678.pdf","GMD040678.pdf","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","OIPM Monitor Terminated Issuer","","CITYWIDE HOME LOAN - Apr-22","OIPM","ISSUER FILE","4275","CITYWIDE HOME LOAN","Apr-22","","GMD040678","1"
